sid,start_time,end_time,observation_count,lat_first,lat_min,lat_max,lon_first,lon_min,lon_max,basin,nature,storm_speed_mean,storm_dir_mean,season,duration_days,basin_name,storm_type
1853216N26294,1853-08-03 12:00:00,1853-08-05 12:00:00,17,25.5,25.5,33.3,-66.5,-69.2,-66.5,,TS,10.294117647058824,343.2352941176471,1853,2.0,,Tropical Storm
1853228N14322,1853-08-15 12:00:00,1853-08-22 12:00:00,57,14.4,14.4,41.0,-38.5,-65.9,-38.5,,TS,16.842105263157894,219.56140350877192,1853,7.0,,Tropical Storm
1853238N18281,1853-08-25 12:00:00,1853-08-27 12:00:00,17,17.6,17.6,19.4,-78.7,-80.3,-78.7,,TS,3.0,319.4117647058824,1853,2.0,,Tropical Storm
1853239N11302,1853-08-26 12:00:00,1853-09-03 12:00:00,65,10.5,10.5,33.8,-58.5,-83.0,-58.5,,TS,11.569230769230769,236.69230769230768,1853,8.0,,Tropical Storm
1853242N12336,1853-08-30 00:00:00,1853-09-11 06:00:00,99,11.8,11.8,55.8,-23.9,-74.9,-13.5,,TS,21.77777777777778,210.3030303030303,1853,12.25,,Tropical Storm
1853245N34311,1853-09-02 00:00:00,1853-09-05 18:00:00,31,33.5,33.5,50.0,-49.0,-52.2,-44.0,,TS,13.0,284.19354838709677,1853,3.75,,Tropical Storm
1853251N24274,1853-09-07 12:00:00,1853-09-11 12:00:00,33,23.8,23.8,32.0,-86.0,-88.0,-84.5,,TS,6.575757575757576,194.3939393939394,1853,4.0,,Tropical Storm
1853251N37307,1853-09-08 00:00:00,1853-09-10 18:00:00,23,37.0,37.0,48.0,-53.0,-53.0,-27.5,,TS,19.782608695652176,59.78260869565217,1853,2.75,,Tropical Storm
1853264N20268,1853-09-20 12:00:00,1853-09-23 00:00:00,21,19.5,19.5,21.8,-92.5,-98.3,-92.5,,TS,5.761904761904762,293.8095238095238,1853,2.5,,Tropical Storm
1853268N27293,1853-09-24 12:00:00,1853-09-29 18:00:00,43,26.5,26.5,37.2,-67.5,-67.8,-45.6,,TS,11.0,90.11627906976744,1853,5.25,,Tropical Storm
1853269N26298,1853-09-26 00:00:00,1853-10-01 06:00:00,43,25.8,25.8,38.0,-62.0,-63.2,-56.7,,TS,9.13953488372093,178.25581395348837,1853,5.25,,Tropical Storm
1853270N14327,1853-09-26 12:00:00,1853-09-28 12:00:00,17,14.4,14.4,15.6,-32.6,-37.0,-32.6,,TS,5.647058823529412,285.0,1853,2.0,,Tropical Storm
1853291N32280,1853-10-17 18:00:00,1853-10-23 06:00:00,45,31.5,28.0,36.0,-80.5,-86.0,-78.2,,TS,7.622222222222222,227.33333333333334,1853,5.5,,Tropical Storm
1853318N20288,1853-11-13 12:00:00,1853-11-28 18:00:00,123,20.5,20.5,27.7,-72.0,-75.5,-55.6,,TS,4.723577235772358,141.54471544715446,1853,15.25,,Tropical Storm
1854032S17059,1854-02-01 06:00:00,1854-02-04 06:00:00,25,-17.3,-22.2,-17.3,59.3,59.3,63.0,SI,NR,5.12,144.4,1854,3.0,South Indian,NR
1854039S18060,1854-02-07 18:00:00,1854-02-09 06:00:00,13,-17.6,-20.8,-17.6,59.6,59.6,61.7,SI,NR,6.384615384615385,146.53846153846155,1854,1.5,South Indian,NR
1854060S15069,1854-03-01 06:00:00,1854-03-04 06:00:00,25,-15.3,-20.0,-15.3,69.0,69.0,69.4,SI,NR,3.92,104.4,1854,3.0,South Indian,NR
1854060S16069,1854-02-28 18:00:00,1854-03-02 06:00:00,13,-15.8,-18.5,-15.8,69.1,69.1,69.4,SI,NR,4.461538461538462,160.3846153846154,1854,1.5,South Indian,NR
