sid,kf_mean_error,kf_std_error,kf_forecast_count,lead_time_hours,null_mean_error,null_std_error,null_forecast_count,basin,nature,start_time,end_time,lat,lon,better_model
1858319N12280,56.968104568830306,72.3561652678163,30,6,59.24181250846618,71.45911066701835,30,,TS,1858-11-14 12:00:00,1858-11-18 12:00:00,11.8,-79.6,Kalman Filter
1859021S14077,32.20474043573743,36.35757347830415,30,6,40.01148348041506,45.36777076837276,30,SI,NR,1859-01-21 06:00:00,1859-01-25 06:00:00,-14.2,77.3,Kalman Filter
1859070S05088,116.21835595523892,158.53505864267242,30,6,109.95347573719197,149.8659378196787,30,SI,NR,1859-03-11 06:00:00,1859-03-17 06:00:00,-4.5,88.4,Null Model
1859152S05087,32.77800176397018,38.603785223519566,20,6,27.622103100074458,25.426838760808124,20,SI,NR,1859-05-31 18:00:00,1859-06-03 06:00:00,-4.7,87.0,Null Model
1859162S04088,62.09467603754099,76.62998466192387,30,6,66.23496086866864,75.27697886519721,30,SI,NR,1859-06-11 06:00:00,1859-06-15 06:00:00,-4.4,87.6,Kalman Filter
1859224N28287,77.27365931928512,95.19772552005354,25,6,85.03344482285922,99.9930243996083,25,,TS,1859-08-11 12:00:00,1859-08-19 18:00:00,28.2,-73.2,Kalman Filter
1859253N21275,234.2678504001787,318.7232031047886,30,6,183.14603617387124,252.42159791156192,30,,TS,1859-09-09 12:00:00,1859-09-22 12:00:00,20.7,-85.5,Null Model
1859272N15322,26.254316335172582,43.058240877857564,30,6,35.53393592373838,43.52525568249213,30,,TS,1859-09-28 12:00:00,1859-10-07 12:00:00,14.9,-38.3,Kalman Filter
1859273N17289,116.72684757543435,173.3697852121821,30,6,114.37963280744074,155.5512154265098,30,,TS,1859-09-29 12:00:00,1859-10-06 18:00:00,16.5,-71.0,Null Model
1859277N22287,199.7693578034464,299.9202300725572,30,6,195.47267644283932,345.2151864677556,30,,TS,1859-10-03 21:00:00,1859-10-12 12:00:00,22.0,-72.6,Null Model
1859335S05090,130.2512856528001,134.4114704414917,25,6,106.39631759515794,126.12168742974619,25,SI,NR,1859-11-30 18:00:00,1859-12-05 06:00:00,-4.7,90.2,Null Model
1859335S14043,61.63945730415673,116.13657004884372,25,6,32.68062809848195,23.030350917536275,25,SI,NR,1859-11-30 18:00:00,1859-12-05 06:00:00,-14.1,42.8,Null Model
1860011S13068,165.1779905685126,208.07600668491054,30,6,158.1836811934555,213.18206258320637,30,SI,NR,1860-01-11 06:00:00,1860-01-19 06:00:00,-13.4,68.3,Null Model
1860011S14067,160.5743568247916,192.97398031018736,30,6,136.0665002781684,183.88650427759958,30,SI,NR,1860-01-11 06:00:00,1860-01-16 06:00:00,-14.2,67.3,Null Model
1860039S17057,136.69295545373262,129.65131311824118,25,6,102.32725997312318,111.58996129160207,25,SI,NR,1860-02-07 18:00:00,1860-02-12 06:00:00,-17.3,56.7,Null Model
1860042S17057,106.61551259403842,112.44914888392692,30,6,89.49423607621473,108.14764689471463,30,SI,NR,1860-02-11 06:00:00,1860-02-17 06:00:00,-17.0,57.2,Null Model
1860052S10081,40.37267647523496,34.373305984235195,25,6,55.0757859278476,47.67282963831642,25,SI,NR,1860-02-21 06:00:00,1860-02-28 06:00:00,-9.8,80.7,Kalman Filter
1860061S13085,109.01777326343353,116.8181235795707,25,6,108.40946736046818,114.46426866394673,25,SI,NR,1860-03-01 06:00:00,1860-03-08 06:00:00,-13.2,85.1,Null Model
